Abstract,Titulo_Real,Titulo_Predito,Score,Experimento
"  The observed spectra of blazars, their intrinsic emission, and the underlying
populations of radiating particles are intimately related. The use of these
sources as probes of the extragalactic infrared background, a prospect
propelled by recent advances in TeV-band telescopes, soon to be augmented by
observations by NASA's upcoming Gamma-Ray Large Area Space Telescope (GLAST),
has been a topic of great recent interest. Here, it is demonstrated that if
particles in blazar jets are accelerated at relativistic shocks, then gamma-ray
spectra with indices less than 1.5 can be produced. This, in turn, loosens the
upper limits on the near infrared extragalactic background radiation previously
proposed. We also show evidence hinting that TeV blazars with flatter spectra
have higher intrinsic TeV gamma-ray luminosities and we indicate that there may
be a correlation of flatness and luminosity with redshift.
","Blazar Gamma-Rays, Shock Acceleration, and the Extragalactic Background
  Light","""Blazing Blasts: From Spectral Emissions to Gamma Ray Probes""",0.5215461,baseline
"  Class of spherically symmetric Stephani cosmological models is examined in
the context of evolution type. It is assumed that the equation of state at the
symmetry center of the models is barotropic. Classification of cosmological
models is performed depending on different values and signs of two free
parameters. It is shown that for (hyperbolic geometry) dust-like cosmological
model exhibits accelerated expansion at later stages of evolution. The Hubble
and deceleration parameters are defined in the model and it is shown that the
deceleration parameter decreases with the distance becoming negative for
sufficiently distant galaxies. Redshift-magnitude relation is calculated and
discussed in the context of SnIa observational data. It is noticed that the
most distant supernovae of type Ia fit quite well to the redshift-magnitude
relation calculated in the considered model without introducing the
cosmological constant. It is also shown that the age of the universe in the
model is longer than in the Friedmann model corresponding to the same Hubble
and energy density parameters.
",Non-homogeneity-driven Universe acceleration,Evolutionary Cosmology: Spherically Symmetric Models with Barotropic Equation of State,0.46292806,baseline
"  A central question in quantum information theory and computational complexity
is how powerful nonlocal strategies are in cooperative games with imperfect
information, such as multi-prover interactive proof systems. This paper
develops a new method for proving limits of nonlocal strategies that make use
of prior entanglement among players (or, provers, in the terminology of
multi-prover interactive proofs). Instead of proving the limits for usual
isolated provers who initially share entanglement, this paper proves the limits
for ""commuting-operator provers"", who share private space, but can apply only
such operators that are commutative with any operator applied by other provers.
Commuting-operator provers are at least as powerful as usual isolated but
prior-entangled provers, and thus, limits for commuting-operator provers
immediately give limits for usual entangled provers. Using this method, we
obtain an n-party generalization of the Tsirelson bound for the Clauser-Horne-
Shimony-Holt inequality for every n. Our bounds are tight in the sense that, in
every n-party case, the equality is achievable by a usual nonlocal strategy
with prior entanglement. We also apply our method to a 3-prover 1-round binary
interactive proof for NEXP. Combined with the technique developed by Kempe,
Kobayashi, Matsumoto, Toner and Vidick to analyze the soundness of the proof
system, it is proved to be NP-hard to distinguish whether the entangled value
of a 3-prover 1-round binary-answer game is equal to 1 or at most 1-1/p(n) for
some polynomial p, where n is the number of questions. This is in contrast to
the 2-prover 1-round binary-answer case, where the corresponding problem is
efficiently decidable. Alternatively, NEXP has a 3-prover 1-round binary
interactive proof system with perfect completeness and soundness 1-2^{-poly}.
","Generalized Tsirelson Inequalities, Commuting-Operator Provers, and
  Multi-Prover Interactive Proof Systems",Limitations of Nonlocality in Cooperative Games with Imperfect Information: A New Method for Proving Limits and Generalizations,0.29993838,baseline
"  We report on two novel ways for patterning Lithium Niobate (LN) at
submicronic scale by means of focused ion beam (FIB) bombardment. The first
method consists of direct FIB milling on LiNbO3 and the second one is a
combination of FIB milling on a deposited metallic layer and subsequent RIE
(Reactive Ion Etching) etching. FIB images show in both cases homogeneous
structures with well reproduced periodicity. These methods open the way to the
fabrication of photonic crystals on LiNbO3 substrates.
",Nanostructuring lithium niobate substrates by focused ion beam milling,"""Two Novel Methods for Patterned Lithium Niobate Using Focused Ion Beam (FIB)""",0.7800727,baseline
"  It is shown that multi M5-brane inflation in heterotic M-theory gives rise to
a detectable gravitational wave power spectrum with tensor fraction $r$
typically larger than the projected experimental sensitivity, $r_{exp} = 0.01$.
A measurable gravitational wave power spectrum entails a large inflationary
energy scale and a super-Planckian inflaton variation. They present serious
problems for particle theory model building resp. a reliable effective field
theory description. These problems are eased or even absent in multi-brane
inflation models and multi M5-brane inflation, in particular.
",Large Gravitational Waves and Lyth Bound in Multi Brane Inflation,"""Detectable Gravitational Wave Power Spectrum: A New Era of Inflationary Cosmology""",0.5854808,baseline
"  Using the 8.4m Large Binocular Telescope, we observed six GRB afterglows from
2.8 hours to 30.8 days after the burst triggers to systematically probe the
late time behaviors of afterglows including jet breaks, flares, and supernova
bumps. We detected five afterglows with Sloan r' magnitudes ranging from
23.0-26.3 mag. The depth of our observations allows us to extend the temporal
baseline for measuring jet breaks by another decade in time scale. We detected
two jet breaks and a third candidate, all of which are not detectable without
deep, late time optical observations. In the other three cases, we do not
detect the jet breaks either because of contamination from the host galaxy
light, the presence of a supernova bump, or the intrinsic faintness of the
optical afterglow.
  This suggests that the basic picture that GRBs are collimated is still valid
and that the apparent lack of Swift jet breaks is due to poorly sampled
afterglow light curves, particularly at late times.
","Go Long, Go Deep: Finding Optical Jet Breaks for Swift-Era GRBs with the
  LBT","""Observing Afterglows from GRBs: A Comprehensive Analysis Using the 8.4m Large Binocular Telescope""",0.45691288,baseline
"  We study the Fourier-Mukai functor D(Y) -> D(X) induced by the universal
family on a fine moduli space Y for simple semihomogeneous vector bundles on an
abelian variety X. The main result is that the Fourier-Mukai transform of a
very negative line bundle on Y is ample if and only if the bundles parametrized
by Y are nef.
","Fourier-Mukai transforms of line bundles on derived equivalent abelian
  varieties","Title: ""An Overview of the Fourier-Mukai Transform and Its Applications to Vector Bundles""",0.69132066,baseline
"  We study the superconducting state of the hole-doped two-dimensional Hubbard
model using Cellular Dynamical Mean Field Theory, with the Lanczos method as
impurity solver. In the under-doped regime, we find a natural decomposition of
the one-particle (photoemission) energy-gap into two components. The gap in the
nodal regions, stemming from the anomalous self-energy, decreases with
decreasing doping. The antinodal gap has an additional contribution from the
normal component of the self-energy, inherited from the normal-state pseudogap,
and it increases as the Mott insulating phase is approached.
","Nodal/Antinodal Dichotomy and the Two Gaps of a Superconducting Doped
  Mott Insulator","Title: ""Superconductivity in the Hole-Doped Two-Dimensional Hubbard Model via Cellular Dynamical Mean-Field Theory and Impurity Solvers""",0.40721488,baseline
"  In this paper we present a re-analysis of the criteria used to characterize
the Peimbert classes I, IIa, IIb, III and IV, through a statistical study of a
large sample of planetary nebulae previously classified according to these
groups. In the original classification, it is usual to find planetary nebulae
that cannot be associated with a single type; these most likely have dubious
classifications into two or three types. Statistical methods can greatly
contribute in providing a better characterization of planetary nebulae groups.
We use the Bayes Theorem to calculate the posterior probabilities for an object
to be member of each of the types I, IIa, IIb, III and IV. This calculation is
particularly important for planetary nebulae that are ambiguously classified in
the traditional method. The posterior probabilities are defined from the
probability density function of classificatory parameters of a well-defined
sample, composed only by planetary nebulae unambiguously fitted into the
Peimbert types. Because the probabilities depend on the available observational
data, they are conditional probabilities, and, as new observational data are
added to the sample, the classification of the nebula can be improved, to take
into account this new information. This method differs from the original
classificatory scheme, because it provides a quantitative result of the
representativity of the object within its group. Also, through the use of
marginal distributions it is possible to extend the Peimbert classification
even to those objects for which only a few classificatory parameters are known.
","Bayesian posterior classification of planetary nebulae according to the
  Peimbert types",A Statistical Analysis of the Peimbert Classification System for Planetary Nebulae,0.8827114,baseline
"  We show that elliptic curves whose Mordell-Weil groups are finitely generated
over some infinite extensions of $\Q$, can be used to show the Diophantine
undecidability of the rings of integers and bigger rings contained in some
infinite extensions of rational numbers.
","Rings of Algebraic Numbers in Infinite Extensions of $\Q$ and Elliptic
  Curves Retaining Their Rank","""Elliptic Curves with Finitely Generated Mordell-Weil Groups: A New Approach to Diophantine Undecidability""",0.51686287,baseline
"  We present a new technique for detecting scattered starlight from transiting,
close-orbiting extrasolar giant planets (CEGPs) that has the virtues of
simplicity, robustness, linearity, and model-independence. Given a series of
stellar spectra obtained over various phases of the planetary orbit, the goal
is to measure the strength of the component scattered by the planet relative to
the component coming directly from the star. We use two complementary
strategies, both of which rely on the predictable Doppler shifts of both
components and on combining the results from many spectral lines and many
exposures. In the first strategy, we identify segments of the stellar spectrum
that are free of direct absorption lines and add them after Doppler-shifting
into the planetary frame. In the second strategy, we compare the distribution
of equivalent-width ratios of the scattered and direct components. Both
strategies are calibrated with a ``null test'' in which scrambled Doppler
shifts are applied to the spectral segments. As an illustrative test case, we
apply our technique to spectra of HD 209458 taken when the planet was near
opposition (with orbital phases ranging from 11 to 34$\arcdeg$, where
0$\arcdeg$ is at opposition), finding that the planet-to-star flux ratio is
$(1.4 \pm 2.9)\times10^{-4}$ in the wavelength range 554$-$681 nm. This
corresponds to a geometric albedo of $0.8 \pm 1.6$, assuming the phase function
of a Lambert sphere. Although the result is not statistically significant, the
achieved sensitivity and relatively small volume of data upon which it is based
are very encouraging for future ground-based spectroscopic studies of scattered
light from transiting CEGP systems.
","A Technique for Detecting Starlight Scattered from Transiting Extrasolar
  Planets with Application to HD 209458b","""Detecting Transiting Extrasolar Giant Planets via Line-Combining Spectroscopy""",0.6576359,baseline
"  We present the recent developments in exact amplitude-based resummation
methods for non-Abelian gauge theories as they relate to precision LHC physics.
We discuss QEDXQCD exponentiation, shower/ME matching, IR-improved DGLAP-CS
theory and implications, as developed by one of us (BFLW), for a UV finite
theory of quantum general relativity.
","New Developments in Precision LHC Theory: QEDXQCD Exponentiation,
  Shower/ME Matching, IR-Improved DGLAP-CS Theory and Implications for UV
  Finite Quantum Gravity",Exact Amplitude-Based Resummation Methods for Non-Abelian Gauge Theories: Precision LHC Physics,0.60401523,baseline
"  We analyze how a short distance boundary condition for the Schrodinger
equation must change as a function of the boundary radius by imposing the
physical requirement of phase shift independence on the boundary condition. The
resulting equation can be interpreted as a variable phase equation of a
complementary boundary value problem. We discuss the corresponding infrared
fixed points and the perturbative expansion around them generating a short
distance modified effective range theory. We also discuss ultraviolet fixed
points, limit cycles and attractors with a given fractality which take place
for singular attractive potentials at the origin. The scaling behaviour of
scattering observables can analytically be determined and is studied with some
emphasis on the low energy nucleon-nucleon interaction via singular pion
exchange potentials. The generalization to coupled channels is also studied.
","Renormalization Group Analysis of Boundary Conditions in Potential
  Scattering",Short Distance Phase Shift Invariant Boundary Condition: A Review,0.2966475,baseline
"  We prove several results about groups of finite Morley rank without unipotent
p-torsion: p-torsion always occurs inside tori, Sylow p-subgroups are
conjugate, and p is not the minimal prime divisor of our approximation to the
``Weyl group.'' These results are quickly finding extensive applications within
the classification project.
",Semisimple torsion in groups of finite Morley rank,"Groups of finite Morley rank without unipotent $p$-torsion: p-torsion occurs inside tori, Sylow $p$-subgroups are conjugate, and p is not the minimal prime divisor of our approximation to the Weyl group. These results are finding extensive applications within",0.75955963,baseline
"  Generalizing Duality Theorem of H. de Vries, we define a category which is
dually equivalent to the category of all locally compact Hausdorff spaces and
all perfect maps between them.
",A Generalization of De Vries Duality Theorem,"""Generalized Duality: A Category Equivalent to Locally Compact Hausdorff Spaces""",0.53114045,baseline
"  This article concerns the stability of a model for mass-spring systems with
positive damping and negative stiness. It is well known that when the
coefficients are frozen in time the system is unstable. Here we find conditions
on the variable cofficients to prove stability. In particular, we disprove the
believe that if the eigenvalues of the system change slowly in time the system
remains unstable. We extend some of our results for nonlinear systems.
",Stability of Solutions to Damped Equations with Negative Stiffness,Stability Analysis of Mass-Spring Systems with Positive Damping and Negative Stiffness,0.6905703,baseline
"  We show how the imaginary parts of the Higgs-Boson self-energies in the MSSM
are consistenly taken into account in the Higgs-Boson mass determination. In a
numerical example we find effects of 5 GeV in the mass difference of the two
heavy neutral Higgs bosons. The imaginary contributions have been included into
the code FeynHiggs.
","Consistent Treatment of Imaginary Contributions to Higgs-Boson Masses in
  the MSSM","""Title: Consistent Treatment of Imaginary Parts in Higgs Boson Mass Determination for the MSSM""",0.88303053,baseline
"  It follows from a recent paper by Ding and Wang that any ring which is
generalized supplemented as left module over itself is semiperfect. The purpose
of this note is to show that Ding and Wang's claim is not true and that the
class of generalized supplemented rings lies properly between the class of
semilocal and semiperfect rings. Moreover we rectify their claim by introducing
a wider notion of local submodules.
",On a recent generalization of semiperfect rings,Generalized Supplemented Rings Are Semipure,0.68103385,baseline
"  Dedicated to spectroscopic and imaging observations of the ultraviolet sky,
the World Space Observatory for Ultraviolet Project is a Russia led
international collaboration presently involving also China, Germany, Italy,
Spain and Ukraine. The mission consists of a 1.7m telescope able to perform: a)
high resolution (R greater than 60000) spectroscopy by means of two echelle
spectrographs covering the 103-310 nm range; b) long slit (1x75 arcsec) low
resolution (R about 1500-2500) spectroscopy using a near-UV channel and a
far-UV channel to cover the 102-310nm range; c) deep UV and diffraction limited
UV and optical imaging (from 115 to 700 nm). Overall information on the project
and on its science objectives are given by other two papers in these
proceedings. Here we present the WSO-UV focal plane instruments, their status
of implementation, and the expected performances.
",The focal-plane instruments on board WSO-UV,"A detailed overview of the WSO-UV instrument focal plane instruments, their status of implementation, and expected performance for spectroscopic and imaging research.",0.86801326,baseline
"  The presence of dust at high redshift requires efficient condensation of
grains in SN ejecta, in accordance with current theoretical models. Yet,
observations of the few well studied SNe and SN remnants imply condensation
efficiencies which are about two orders of magnitude smaller. Motivated by this
tension, we have (i) revisited the model of Todini & Ferrara (2001) for dust
formation in the ejecta of core collapse SNe and (ii) followed, for the first
time, the evolution of newly condensed grains from the time of formation to
their survival - through the passage of the reverse shock - in the SN remnant.
We find that 0.1 - 0.6 M_sun of dust form in the ejecta of 12 - 40 M_sun
stellar progenitors. Depending on the density of the surrounding ISM, between
2-20% of the initial dust mass survives the passage of the reverse shock, on
time-scales of about 4-8 x 10^4 yr from the stellar explosion. Sputtering by
the hot gas induces a shift of the dust size distribution towards smaller
grains. The resulting dust extinction curve shows a good agreement with that
derived by observations of a reddened QSO at z =6.2. Stochastic heating of
small grains leads to a wide distribution of dust temperatures. This supports
the idea that large amounts (~ 0.1 M_sun) of cold dust (T ~ 40K) can be present
in SN remnants, without being in conflict with the observed IR emission.
",Dust Formation and Survival in Supernova Ejecta,Dust Formation in Core Collapse Supernovae: A Review of the Evidence,0.8365642,baseline
"  As a model for gene and protein interactions we study a set for molecular
catalytic reactions. The model is based on experimentally motivated interaction
network topologies, and is designed to capture some key statistics of gene
expression statistics. We impose a non-linearity to the system by a boundary
condition which guarantees non-negative concentrations of chemical
concentrations and study the system stability quantified by maximum Lyapunov
exponents. We find that the non-negativity constraint leads to a drastic
inflation of those regions in parameter space where the Lyapunov exponent
exactly vanishes. We explain the finding as a self-organized critical
phenomenon. The robustness of this finding with respect to different network
topologies and the role of intrinsic molecular- and external noise is
discussed. We argue that systems with inflated 'edges of chaos' could be much
more easily favored by natural selection than systems where the Lyapunov
exponent vanishes only on a parameter set of measure zero.
","The window at the edge of chaos in a simple model of gene interaction
  networks",Title: Non-Negative Dynamics of Gene-Protein Networks: A Self-Organized Critical Phenomenon,0.6967653,baseline
"  Strong spin-orbit interaction characteristic for p-type GaAs systems, makes
such systems promising for the realization of spintronic devices. Here we
report on transport measurements in nanostructures fabricated on p-type,
C-doped GaAs heterostructures by scanning probe oxidation lithography. We
observe conductance quantization in a quantum point contact, as well as
pronounced Coulomb resonances in two quantum dots with different geometries.
Charging energies for both dots, extracted from Coulomb diamond measurements
are in agreement with the lithographic dimensions of the dots. The absence of
excited states in Coulomb diamond measurements indicates that the dots are in
the multi-level transport regime.
",Hole transport in p-type GaAs quantum dots and point contacts,"**Title:**
""Quantum Transport Characteristic and Excitons in C-Type GaAs Nanoparticles Fabricated via Scanning Probe Oxidation Lithography""

This title encapsulates several key aspects:
- It identifies the focus (quantum transport)
- It specifies the materials (copper oxide)
- It",0.56562877,baseline
"  The GLAST Burst Monitor (GBM) will augment the capabilities of GLAST for the
detection of cosmic gamma-ray bursts by extending the energy range (20 MeV to >
300 GeV) of the Large Area Telescope (LAT) towards lower energies by 2
BGO-detectors (150 keV to 30 MeV) and 12 NaI(Tl) detectors (10 keV to 1 MeV).
The physical detector response of the GBM instrument for GRBs is determined
with the help of Monte Carlo simulations, which are supported and verified by
on-ground calibration measurements, performed extensively with the individual
detectors at the MPE in 2005. All flight and spare detectors were irradiated
with calibrated radioactive sources in the laboratory (from 14 keV to 4.43
MeV). The energy/channel-relations, the dependences of energy resolution and
effective areas on the energy and the angular responses were measured. Due to
the low number of emission lines of radioactive sources below 100 keV,
calibration measurements in the energy range from 10 keV to 60 keV were
performed with the X-ray radiometry working group of the
Physikalisch-Technische Bundesanstalt (PTB) at the BESSY synchrotron radiation
facility, Berlin.
",Calibration of the GLAST Burst Monitor detectors,"Title: ""Enhancing Glaser Burst Detection Using BGO and NaI(Tl) Detectors""",0.60227525,baseline
"  We take an approach toward counting the number of n for which the curves E_n:
y^2=x^3-n^2x have 2-Selmer groups of a given size. This question was also
discussed in a pair of Invent. Math. papers by Roger Heath-Brown. We discuss
the connection between computing the size of these Selmer groups and verifying
cases of the Birch and Swinnerton-Dyer Conjecture. The key ingredient for the
asymptotic formulae is the ``independence'' of the Legendre symbol evaluated at
the prime divisors of an integer with exactly k prime factors.
","2-Selmer Groups and the Birch-Swinnerton-Dyer Conjecture for the
  Congruent Number Curve",Title: Counting Selmer Groups of Elliptic Curves with Given Sizes of Orders: A Comprehensive Approach to Verification and Asymptotic Formulae,0.6959541,baseline
"  We study many-body correlations in the ground states of a general quantum
system of bosons or fermions by including an additional Jastrow function in our
ecently proposed variational coupled-cluster method. Our approach combines the
dvantages of state-dependent correlations in the coupled-cluster theory and of
strong, short-ranged correlations of the Jastrow function. We apply a
generalized linked-cluster expansion for the Jastrow wavefunction and provide
detailed analysis for practical evaluation of Hamiltonian expectation value as
an energy functional of the Jastrow function and the bare density-distribution
functions introduced and calculated in our earlier publications; a simple,
first-order energy functional is derived and detailed formulas for higher-order
contributions are provided. Our energy functional does not suffer the
divergence as in most coupled-cluster calculations when applying to
Hamiltonians with hardcore potentials. We also discuss relations between our
energy functional and the energy functionals from other theories.
","A variational Jastrow coupled-cluster theory of quantum many-body
  systems","Title: ""Quantum Ground State Theory: An Integrated Approach to Many-Body Correlations""",0.6268264,baseline
"  In this work we derive a theory of polariton condensation based on the theory
of interacting Bose particles. In particular, we describe self-consistently the
linear exciton-photon coupling and the exciton-nonlinearities, by generalizing
the Hartree-Fock-Popov description of BEC to the case of two coupled Bose
fields at thermal equilibrium. In this way, we compute the density-dependent
one-particle spectrum, the energy occupations and the phase diagram. The
results quantitatively agree with the existing experimental findings. We then
present the equations for the linear response of a polariton condensate and we
predict the spectral response of the system to external optical or mechanical
perturbations.
","Thermodynamics and linear response of a Bose-Einstein condensate of
  microcavity polaritons","Title: ""Polariton Condensation in Two-Field Bose Systems: A Theoretical Framework""",0.714121,baseline
"  We present Far Ultraviolet Spectroscopic Explorer (FUSE) and Space Telescope
Imaging Spectrograph (STIS E140M) observations of the post-asymptotic giant
branch star ZNG 1 in the globular cluster Messier 5 (l=3.9, b=+47.7; d=7.5 kpc,
z=+5.3 kpc). High velocity absorption is seen in C IV, Si IV, O VI, and lower
ionization species at LSR velocities of -140 and -110 km/s. We conclude that
this gas is not circumstellar on the basis of photoionization models and path
length arguments. Thus, the high velocity gas along the ZNG 1 sight line is the
first evidence that highly-ionized HVCs can be found near the Galactic disk. We
measure the metallicity of these HVCs to be [O/H]=+0.22\pm0.10, the highest of
any known HVC. Given the clouds' metallicity and distance constraints, we
conclude that these HVCs have a Galactic origin. This sight line probes gas
toward the inner Galaxy, and we discuss the possibility that these HVCs may be
related to a Galactic nuclear wind or Galactic fountain circulation in the
inner regions of the Milky Way.
","The High Velocity Gas toward Messier 5: Tracing Feedback Flows in the
  Inner Galaxy","Title: The Galactic Origin of High-velocity Gas Near the Disk: Evidence for a Galactic Nucleus

This title captures the main points of our research:
- It highlights the discovery of high-speed gas along the ZNG 1 sight line 
- Emphasizes the significance of this finding in understanding the origin of",0.565296,baseline
"  We respond to Comment on our recent letter (Phys.Rev.Lett.99:092501,2007) by
Dean et al (arXiv:0709.0449).
","Reply to Comment on ``Ab Initio Study of 40-Ca with an Importance
  Truncated No-Core Shell Model''","Title: ""A Unified Framework for Quantum Field Theory and String Theory""",0.12719958,baseline
